Emoid,Epoch,H,q,Q,Class,Discovery date
0.03662,2017-02-16,26.1,0.768,1.132,Aten,2016-05-10
0.01477,2017-02-16,22.9,0.584,1.083,Aten,2016-05-08
0.00975,2017-02-16,21.2,0.696,1.129,Aten,2016-05-04
0.01947,2017-02-16,22.3,0.664,1.256,Aten,2016-05-04
0.03513,2017-02-16,24.2,0.648,1.347,Aten,2016-05-04
0.12526,2017-02-16,21.3,0.44,1.274,Aten,2016-05-04
0.20329,2017-02-16,23.2,0.635,1.354,Aten,2016-05-03
0.05308,2017-02-16,22.7,0.49,1.035,Aten,2016-05-03
0.03,,21.2,0.613,,,
0.1177,,21.8,0.434,,,
0.00991,,27.1,0.779,,,
0.24776,,20.7,0.691,,,
0.00474,,26.5,0.783,,,
0.03838,,24.7,0.809,,,
0.05512,,24.3,0.464,,,
0.00073,,28,0.699,,,
0.00461,,26.1,0.795,,,
0.01071,,24.8,0.774,,,
0.02183,,24.8,0.605,,,
0.04557,,22.8,0.421,,,
0.01869,,28.1,0.902,,,
0.07389,,22.2,0.843,,,
0.03101,,24.8,0.819,,,
0.01059,,26.1,0.649,,,
0.04946,,25,0.802,,,
0.04537,,24.8,0.635,,,
0.0367,,26.2,0.625,,,
0.00171,,28.3,0.803,,,
0.00967,,23.9,0.485,,,
0.08681,,26.3,0.806,,,
0.01853,,28.3,0.822,,,
0.13435,,23.9,0.821,,,
0.00456,,26.3,0.715,,,
0.02716,,28.3,0.859,,,
0.02872,,23.9,0.597,,,
0.00449,,26.3,0.523,,,
0.04073,,26.2,0.496,,,
0.01596,,24.6,0.882,,,
0.01824,,25.4,0.68,,,
0.00666,,25.3,0.712,,,
0.16031,,25.6,0.833,,,
0.164,,26.9,0.376,,,
0.00298,,23.5,0.348,,,
0.03899,,24.7,0.676,,,
0.06348,,23.4,0.45,,,
0.02701,,29.7,0.41,,,
0.01833,,22.9,0.669,,,
0.05151,,26.8,0.61,,,
0.0093,,29,0.378,,,
0.02211,,22.3,0.602,,,
0.04842,,23,0.783,,,
0.00061,,26.1,0.564,,,
0.00003,,25.2,0.39,,,
0.24822,,22.9,0.646,,,
0.00521,,22.6,0.276,,,
0.0695,,25.9,0.825,,,
0.02757,,21.3,0.766,,,
0.00361,,28.5,0.892,,,
0.00401,,27.5,0.608,,,
0.00144,,22.6,0.67,,,
0.00117,,26.5,0.719,,,
0.13856,,24.6,0.711,,,
0.04068,,21.4,0.627,,,
0.00992,,28.8,0.634,,,
0.01338,,28,0.619,,,
0.03864,,28.5,0.587,,,
0.00966,,28.5,0.355,,,
0.07222,,21.8,0.593,,,
0.01853,,25.8,0.707,,,
0.01152,,20.9,0.785,,,
0.0916,,26.7,0.696,,,
0.11911,,22,0.565,,,
0.00657,,21.9,0.481,,,
0.00832,,25.4,0.742,,,
0.00616,,22.9,0.705,,,
0.02965,,24.7,0.383,,,
0.00622,,23.4,0.718,,,
0.09313,,19.9,0.363,,,
0.00368,,27.9,0.719,,,
0.19633,,26.4,0.628,,,
0.00096,,21.3,0.814,,,
0.06148,,25.2,0.795,,,
0.00582,,25.8,0.674,,,
0.19492,,23.2,0.563,,,
0.00233,,27.4,0.482,,,
0.20604,,19.7,0.68,,,
0.00459,,27.9,0.602,,,
0.06794,,24.2,0.626,,,
0.24855,,26.2,0.365,,,
0.01576,,23.1,0.724,,,
0.07658,,25,0.53,,,
,,22.2,0.556,,,
,,25.6,0.424,,,
,,21,0.712,,,
,,23.1,0.381,,,
,,25.4,0.657,,,
,,21.7,0.834,,,
,,24.5,0.647,,,
,,24,0.409,,,
,,23.3,0.561,,,
,,26.3,0.858,,,
,,22.3,0.524,,,
,,20.6,0.664,,,
,,27.7,0.415,,,
,,30.6,0.4,,,
,,28.3,0.889,,,
,,22.7,0.471,,,
,,30.6,0.632,,,
